px(Higgs)  py(Higgs)  pz(Higgs)  energ(Higgs)  masa(Higgs)  px(cest_1)  py(cest_1)  pz(cest_1)  energ(cest_1)  masa(cest_1)  px(cest_2)  py(cest_2)  pz(cest_2)  energ(cest_2)  masa(cest_2)
-6.1661     -1198.3     1074.85     1614.58     125.019     -14.9249     -15.8633     21.6517     31.0843     4.8     8.75876     -1182.43     1053.2     1583.5     4.8
-1109.23     -467.917     -279.424     1242.2     125     -490.745     -197.018     -60.1275     532.245     4.8     -618.489     -270.899     -219.297     709.95     4.8
1128.46     -424.994     -1375.79     1833.7     124.997     680.021     -191.397     -817.509     1080.47     4.8     448.44     -233.598     -558.277     753.235     4.8
-1012.5     646.591     779.89     1437.74     125     -948.022     602.902     688.998     1317.94     4.8     -64.4827     43.6883     90.8927     119.797     4.8
89.6607     1215.82     345.979     1273.41     124.999     92.5883     1026.08     247.525     1059.58     4.8     -2.9276     189.738     98.4534     213.834     4.8
-1203.24     152.412     198.136     1235.27     125.008     -406.042     40.195     125.567     426.938     4.8     -797.195     112.217     72.5683     808.332     4.8
919.252     -786.683     111.093     1221.42     124.996     180.675     -149.035     71.1891     244.838     4.8     738.576     -637.648     39.904     976.578     4.8
-1116.91     -484.947     416.827     1293.07     125.002     -566.557     -295.046     172.583     661.7     4.8     -550.353     -189.901     244.244     631.371     4.8
-1066.06     -583.136     -948.069     1546.29     125.021     -319.417     -141.457     -334.803     483.894     4.8     -746.646     -441.678     -613.266     1062.39     4.8
165.751     -1208.42     -952.917     1552.88     125.001     181.526     -1171.18     -926.397     1504.28     4.8     -15.7751     -37.2421     -26.5199     48.6022     4.8
1056.04     585.474     255.457     1240.52     125.005     975.845     524.039     265.039     1138.93     4.8     80.1982     61.4353     -9.58213     101.592     4.8
-1180.42     -231.467     -201.587     1226.07     125.003     -99.0508     -54.596     -9.44746     113.596     4.8     -1081.37     -176.871     -192.14     1112.47     4.8
-612.185     -1041.92     -418.824     1285.07     124.993     -265.766     -358.355     -115.561     460.898     4.8     -346.419     -683.565     -303.263     824.172     4.8
506.976     -1104.37     1191.61     1706.52     125     446.095     -910.792     935.762     1379.93     4.8     60.8809     -193.578     255.845     326.586     4.8
1150.14     -381.439     87.0139     1221.27     124.998     839.46     -282.369     118.706     893.611     4.8     310.678     -99.07     -31.6924     327.663     4.8
545.515     1089.78     -15.8387     1225.19     125     84.6077     124.094     -37.6504     154.914     4.8     460.907     965.689     21.8117     1070.28     4.8
844.195     870.589     485.43     1312.19     124.98     52.3989     97.7224     64.4201     128.329     4.8     791.796     772.867     421.01     1183.86     4.8
1182.06     244.138     120.379     1219.42     124.994     1.22804     -2.74732     -3.5665     6.69446     4.8     1180.83     246.886     123.946     1212.72     4.8
-845.657     855.512     -565.337     1335.02     125.001     -808.895     819.332     -510.14     1259.32     4.8     -36.7615     36.1799     -55.1968     75.6975     4.8
1214.93     -44.6138     564.682     1346.31     125     593.99     -40.9438     341.785     686.542     4.8     620.943     -3.67001     222.898     659.766     4.8
715.025     989.234     -1147.83     1680.17     125.004     584.302     726.435     -841.427     1255.84     4.8     130.723     262.799     -306.4     424.33     4.8
-1166.87     -348.696     -1269.91     1763.94     124.992     -866.543     -313.387     -938.081     1314.96     4.8     -300.33     -35.3092     -331.83     448.976     4.8
-658.14     1006.15     761.782     1428.78     125.016     -145.472     323.393     238.316     427.274     4.8     -512.667     682.754     523.466     1001.51     4.8
-1164.19     -298.258     -238.793     1231.64     124.997     -984.377     -282.658     -236.3     1051.07     4.8     -179.808     -15.6     -2.49285     180.565     4.8
693.947     -1001.93     -615.735     1371.2     125.001     419.097     -565.141     -418.813     818.813     4.8     274.85     -436.791     -196.922     552.385     4.8
819.997     875.024     -92.7667     1209.25     124.994     661.505     771.639     -76.2017     1019.24     4.8     158.492     103.385     -16.565     190.015     4.8
118.323     1209.1     548.708     1338.89     125.019     5.34485     234.567     57.0179     241.505     4.8     112.979     974.532     491.69     1097.39     4.8
