px(Higgs)  py(Higgs)  pz(Higgs)  energ(Higgs)  masa(Higgs)  px(cest_1)  py(cest_1)  pz(cest_1)  energ(cest_1)  masa(cest_1)  px(cest_2)  py(cest_2)  pz(cest_2)  energ(cest_2)  masa(cest_2)
4.73776     -107.645     -132.324     197.771     99.97     22.9242     0.468588     2.91965     23.6072     4.8     -18.1864     -108.113     -135.244     174.164     4.8
55.9601     -86.4456     -248.936     287.357     100.001     -26.6633     -30.5932     -100.229     108.239     4.8     82.6234     -55.8524     -148.707     179.117     4.8
2.8103     111.908     782.417     796.693     100.06     7.42369     127.863     737.692     748.743     4.8     -4.61339     -15.9541     44.7254     47.9502     4.8
110.804     -1.70109     334.896     366.658     100.01     70.1169     -42.5082     255.905     268.763     4.8     40.6868     40.8071     78.9915     97.8945     4.8
-84.6835     -63.6941     -517.549     537.664     99.9842     -18.3913     -10.6042     -340.955     341.649     4.8     -66.2922     -53.0899     -176.594     196.014     4.8
23.4035     107.225     -125.712     194.547     100.001     10.0785     80.6544     -139.427     161.461     4.8     13.325     26.5707     13.715     33.0862     4.8
90.5988     59.251     -1513.94     1521.1     100.002     27.3783     -27.3003     -325.593     327.915     4.8     63.2206     86.5513     -1188.35     1193.18     4.8
-73.0787     82.3047     -35.6809     152.925     99.9916     -96.6589     75.5672     -23.0725     124.935     4.8     23.5802     6.73751     -12.6084     27.9899     4.8
77.8801     68.7848     -1148.56     1157.57     100.001     66.7013     64.6633     -482.014     490.908     4.8     11.1788     4.12147     -666.542     666.665     4.8
101.164     -54.0983     -659.23     676.568     99.9989     65.3078     19.0358     -360.651     367.041     4.8     35.8563     -73.1341     -298.579     309.527     4.8
111.986     -10.2309     466.645     490.31     100.002     1.75554     29.0295     55.9001     63.1954     4.8     110.231     -39.2604     410.745     427.114     4.8
57.5637     -94.6863     309.039     343.195     99.9955     -1.14142     13.6724     95.4945     96.5944     4.8     58.7051     -108.359     213.544     246.601     4.8
54.6642     100.365     -866.512     879.718     100     5.60648     27.766     -44.0676     52.6058     4.8     49.0578     72.5988     -822.445     827.113     4.8
-64.0308     80.8672     195.21     242.373     99.9908     -53.9149     -5.97205     93.1572     107.906     4.8     -10.1158     86.8392     102.053     134.467     4.8
-36.2197     100.616     588.211     606.158     100     -31.9934     119.003     450.364     466.943     4.8     -4.22637     -18.3867     137.847     139.215     4.8
-112.908     -39.4947     1.33102     155.916     99.9996     -99.4048     -63.5473     -21.2134     119.969     4.8     -13.5032     24.0525     22.5445     35.9465     4.8
-72.0626     -96.4203     13.9049     157.115     100.009     -34.0057     -18.4246     49.6629     63.1292     4.8     -38.0569     -77.9957     -35.758     93.9858     4.8
-51.9011     99.8463     214.281     261.876     99.9991     -79.1002     91.3348     162.199     202.312     4.8     27.1991     8.51144     52.0823     59.5638     4.8
82.2381     -62.8294     111.381     181.98     100.001     2.52788     -48.5735     6.37271     49.2892     4.8     79.7102     -14.2559     105.008     132.69     4.8
74.4508     89.0515     -285.065     323.628     100.001     85.7822     100.719     -223.453     259.726     4.8     -11.3314     -11.6677     -61.6114     63.9026     4.8
-51.3291     92.5611     125.419     192.176     99.9977     -76.702     72.6693     118.53     158.86     4.8     25.3729     19.8918     6.88829     33.316     4.8
-44.6288     94.5933     -223.908     266.582     99.9577     -8.21246     -9.04819     -100.253     101.109     4.8     -36.4164     103.641     -123.655     165.473     4.8
-32.7     99.4318     -85.9738     168.37     100.005     6.50226     13.2601     20.5627     25.7677     4.8     -39.2022     86.1717     -106.537     142.602     4.8
0.973117     -101.465     -42.0925     148.554     100.002     -21.3127     -95.5931     2.54355     98.0907     4.8     22.2858     -5.87184     -44.6361     50.4634     4.8
-40.7356     -112.08     -77.3815     173.809     100.001     -38.7108     -130.005     -60.361     148.547     4.8     -2.0248     17.9249     -17.0206     25.2615     4.8
-73.0666     83.9862     715.77     731.245     99.9973     -29.2299     -4.42175     381.669     382.842     4.8     -43.8367     88.408     334.102     348.403     4.8
69.2628     -75.3045     996.493     1006.71     100.001     38.0302     -78.9535     915.468     919.665     4.8     31.2326     3.64902     81.0252     87.0455     4.8
95.2606     -35.7192     -249.192     287.135     99.9982     72.0727     24.6317     -155.267     173.009     4.8     23.1879     -60.351     -93.925     114.127     4.8
-40.4802     105.134     -303.228     338.584     99.9999     -52.5992     9.58025     -122.2     133.47     4.8     12.119     95.5533     -181.028     205.114     4.8
60.5508     84.264     -126.425     191.703     99.9989     39.8336     68.2111     -19.4937     81.5016     4.8     20.7172     16.053     -106.932     110.201     4.8
-40.5892     106.591     2355.74     2360.62     99.9898     -45.3697     9.11689     1143.77     1144.72     4.8     4.78055     97.4742     1211.97     1215.9     4.8
79.6202     88.5229     126.775     200.616     99.9963     36.4552     5.43654     -6.43454     37.7224     4.8     43.165     83.0864     133.209     162.894     4.8
116.665     4.13226     173.372     231.696     99.986     69.3817     -41.9814     127.346     151.05     4.8     47.2831     46.1137     46.0262     80.645     4.8
-117.423     -26.5829     -305.914     343.626     100.002     -122.404     -34.3751     -307.779     333.04     4.8     4.9817     7.79221     1.86532     10.5856     4.8
-52.633     -86.8294     -34.5426     146.638     100     -3.84918     -12.6588     32.4153     35.3391     4.8     -48.7838     -74.1706     -66.9579     111.299     4.8
95.5793     -27.8371     -30.1782     144.295     100.001     109.361     -37.2316     -7.67757     115.879     4.8     -13.7813     9.39449     -22.5007     28.4165     4.8
47.9089     98.3742     -449.322     473.142     99.9989     -24.6569     32.3978     -218.328     222.143     4.8     72.5659     65.9764     -230.995     250.998     4.8
46.7516     -100.476     62.0875     161.67     100.006     60.9142     -100.272     22.7778     119.612     4.8     -14.1626     -0.203684     39.3097     42.0584     4.8
-59.0521     88.7668     -368.847     396.756     99.9996     -2.52152     48.7579     -278.649     282.935     4.8     -56.5306     40.0089     -90.1983     113.821     4.8
81.224     -74.7507     355.243     385.205     100.002     55.6942     -23.4194     63.259     87.6074     4.8     25.5298     -51.3313     291.984     297.597     4.8
-74.1061     -79.9919     -594.234     612.376     100     -55.3789     -5.1567     -390.559     394.529     4.8     -18.7273     -74.8352     -203.674     217.847     4.8
-36.1859     102.361     1338.3     1346.41     100     8.75672     100.649     840.2     846.265     4.8     -44.9427     1.71197     498.099     500.148     4.8
-99.5316     42.6667     -204.347     251.962     99.9994     -36.4035     -7.04079     -150.607     155.178     4.8     -63.1281     49.7075     -53.7405     96.7836     4.8
104.204     21.2826     -915.856     927.417     99.9966     99.3521     18.238     -438.769     450.272     4.8     4.85209     3.04454     -477.087     477.145     4.8
104.041     -43.4181     148.908     211.856     99.9994     63.3545     7.47199     128.277     143.345     4.8     40.6861     -50.8901     20.6308     68.5115     4.8
-104.177     -29.1339     -220.933     265.546     100.007     7.82679     -25.7221     -85.1918     89.4626     4.8     -112.004     -3.41177     -135.741     176.083     4.8
-81.0842     -60.3536     -291.184     324.045     99.9978     -24.6593     -72.969     -213.982     227.473     4.8     -56.4249     12.6154     -77.2025     96.5722     4.8
-109.8     12.8077     -2240.43     2245.38     100.001     -114.682     -19.1356     -1730.75     1734.65     4.8     4.88222     31.9433     -509.684     510.73     4.8
-102.338     -36.7581     -566.065     585.025     100     -104.391     4.89789     -369.362     383.892     4.8     2.05233     -41.656     -196.703     201.133     4.8
25.2587     101.706     -433.549     457.107     99.9998     -28.4116     53.0441     -290.289     296.499     4.8     53.6703     48.6623     -143.261     160.609     4.8
58.4896     104.409     -836.625     851.037     99.9971     20.6628     81.8354     -275.858     288.522     4.8     37.8269     22.5738     -560.767     562.515     4.8
-109.553     12.8607     -405.348     431.827     99.9982     -71.7663     47.0166     -328.147     339.212     4.8     -37.7863     -34.1559     -77.2011     92.6147     4.8
91.5286     -71.5923     834.336     848.304     99.9989     57.2183     15.555     332.829     338.103     4.8     34.3104     -87.1474     501.508     510.201     4.8
-69.6216     71.5159     -205.66     249.515     100.001     -78.712     81.1655     -129.143     171.71     4.8     9.09039     -9.64956     -76.5174     77.8055     4.8
-68.891     -84.4442     163.811     220.704     99.9983     -77.7692     -56.0954     164.654     190.601     4.8     8.87812     -28.3487     -0.843163     30.1035     4.8
79.1644     -81.2318     -328.557     361.684     100     -20.8733     -3.71506     -27.3627     34.9464     4.8     100.038     -77.5167     -301.194     326.738     4.8
-88.9059     56.2804     -88.3969     169.959     100.001     -100.714     71.5571     -66.5603     140.417     4.8     11.8081     -15.2768     -21.8366     29.5413     4.8
74.6381     -73.0406     -11.7047     145.051     99.9853     64.4004     -96.3274     -20.3813     117.749     4.8     10.2377     23.2868     8.67658     27.3022     4.8
