px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-18.3172     31.2975     -95.6161     102.262     -6.44993     8.87503     -27.5986     29.6993
-46.6129     -51.0915     -149.859     165.048     -6.48352     -7.72601     -24.9214     26.885
16.3103     -6.28736     -53.153     55.9535     -14.7806     -40.4035     -137.893     144.449
3.56217     -9.86734     -41.5166     42.8318     3.58917     -11.9631     -52.233     53.7137
23.3871     7.55073     -38.847     45.9681     24.0337     6.15092     -37.8841     45.2842
45.2515     7.402     -283.045     286.735     20.6122     4.33857     -131.376     133.055
-8.91083     7.5783     29.9923     32.193     -23.9491     21.1336     85.0265     90.8279
-13.3395     -35.6786     -80.6698     89.2106     11.576     -1.94726     -57.5597     58.7466
38.1537     19.3151     -3.11471     42.8774     -7.30599     11.7765     -0.0224723     13.8676
-42.8459     -40.3663     -130.246     142.931     -9.47307     -8.20005     -31.2129     33.6337
9.13743     -4.82118     -1.15118     10.3953     4.91533     33.2365     -43.9365     55.3104
-35.2719     83.6461     124.013     153.688     -1.40339     -12.4239     23.6992     26.7996
-3.92564     42.6019     -20.3135     47.36     31.7004     21.3806     35.4177     52.1197
-35.2179     9.76219     26.6662     45.2403     -44.6502     14.3863     35.4109     58.7753
4.03996     -10.694     81.4508     82.2545     7.71421     -24.7195     208.21     209.814
20.0715     -45.1554     82.3797     96.0641     4.33475     -10.7061     17.4598     20.9346
-44.8795     -2.56758     -79.8217     91.6093     -8.31421     -15.2593     -95.7474     97.3116
35.8532     40.7998     -68.5257     87.4406     14.7088     13.5858     -26.8779     33.5164
-40.8315     -22.3125     -46.7984     65.9935     -2.58453     -11.0591     -59.0856     60.1672
-3.04633     54.529     66.6956     86.2032     48.6662     3.38652     34.3022     59.6365
-37.9212     2.39797     22.5385     44.1786     -0.96587     -10.3218     -0.952138     10.4114
-0.30355     -35.8188     120.209     125.433     -4.93619     -14.2102     1.01538     15.0773
17.1821     -48.6745     117.659     128.484     6.54206     -19.6562     54.4814     58.2947
-26.5144     12.4449     -85.3731     90.2577     -14.6392     5.38881     -48.4254     50.876
-14.3734     -42.2433     62.5949     76.8714     -3.91359     -11.0848     16.2275     20.0442
-19.6021     1.31575     -288.174     288.844     -3.98243     -15.7026     -396.28     396.611
-24.998     7.56805     -43.333     50.5957     -17.0214     4.94751     -30.4637     35.249
-7.7822     22.2351     -12.1767     26.5189     -7.53956     9.21799     -49.905     51.3064
18.5082     -18.8209     -184.931     186.806     5.20124     -11.0101     -10.4822     16.0747
-14.9123     -17.8588     -1.9812     23.3503     -11.1852     -13.9982     -0.753991     17.934
-13.7312     32.1686     -236.06     238.637     -5.04641     13.2478     -98.648     99.6659
11.1292     -4.56895     -19.3589     22.798     35.6598     29.5854     0.966294     46.3449
8.75017     -14.0351     -0.435078     16.5451     -27.1705     -9.22425     -6.66     29.4564
16.0692     8.68166     106.99     108.538     -30.4376     30.0124     263.009     266.46
-8.39265     21.237     -41.2369     47.1374     -8.1253     16.3215     -29.4755     34.6586
6.14184     28.2248     20.7452     35.563     10.9412     14.1582     79.9602     81.9377
8.95097     -6.1036     75.4249     76.1991     -7.55549     -29.4971     65.6218     72.3438
-11.3228     2.63658     122.756     123.306     -23.4791     3.79783     247.141     248.283
-24.3171     6.34629     28.85     38.2613     -4.3655     11.8985     -3.92433     13.2685
-66.5296     34.6961     -9.13942     75.588     -8.48963     3.35299     -0.914001     9.17342
-41.8056     31.2188     -11.8058     53.4948     -26.5708     17.6342     -9.78262     33.3567
-31.5149     -4.4856     71.5386     78.3012     -61.5403     -5.99696     127.455     141.661
-4.00713     -70.9965     -2.92996     71.1699     19.4953     -2.07672     4.65038     20.1496
23.2006     -13.8986     -80.7851     85.192     25.3814     -7.39572     -3.69069     26.6933
-6.61878     10.1602     -9.86949     15.6425     -41.4243     -47.718     -86.2439     106.916
