px(1)   py(1)   pz(1)   E(1)  px(2)   py(2)   pz(2)   E(2)
-31.9051     -39.3246     172.003     179.408     72.5826     -26.0571     208.904     222.737
-11.6719     -17.66     -3.91325     21.7417     -20.4925     130.894     115.03     175.685
-15.4726     -18.4983     -21.4876     32.3656     -74.7682     86.471     -386.771     403.376
53.3617     36.2076     -8.03998     65.1226     -37.7856     56.6031     -76.8017     102.89
-32.8872     -1.66165     -42.6396     54.1552     -67.2021     18.2898     -806.545     809.566
-20.7653     35.2259     27.9237     49.7378     -19.3652     43.6097     342.18     345.528
19.5684     31.289     78.978     87.3078     68.007     -84.1113     107.598     152.911
50.8716     -43.1819     201.236     212.126     51.6463     61.1614     97.2205     126.074
22.1007     -57.5456     349.285     354.756     -64.0411     -26.6168     131.599     148.971
38.2482     -31.7631     -123.449     133.202     29.3479     -59.9667     8.24826     67.5086
29.3579     25.4152     6.11707     39.6669     -113.379     53.3727     29.9899     129.89
24.8373     -11.39     26.2907     38.1919     -94.627     -67.7065     -36.3024     122.039
4.24408     37.0486     -2.9987     37.8011     96.7048     -47.1157     -114.49     157.26
-43.1603     -32.9298     -618.281     620.685     -42.4255     -41.4961     -97.4235     114.162
-23.4333     40.037     1334.97     1335.79     -24.2133     64.0645     313.914     321.332
33.1518     -57.6899     -28.5309     72.6241     -46.0271     -55.6706     -177.604     191.821
37.4436     16.5357     48.9106     64.0289     -43.5301     87.036     430.717     441.639
74.4281     6.96901     -194.525     208.516     -13.4208     87.479     -176.577     197.599
-49.6845     15.0913     9.803     53.0316     -0.371756     62.1     111.634     127.908
-44.7832     -55.7114     140.849     158.108     75.1158     -41.9725     195.301     213.53
31.2178     -13.5479     94.9469     101.216     18.4883     -76.6511     1392.85     1395.1
52.4894     -16.9482     -19.1927     58.7554     -2.12616     101.536     -31.9992     106.782
-33.0343     -14.3796     75.108     83.3942     58.4662     -89.3518     588.916     598.569
10.9076     25.4192     -9.77473     29.7441     -121.73     -8.43134     79.0829     145.546
18.2482     -60.5475     328.198     334.351     -98.2549     -12.2081     449.455     460.269
15.5109     -19.9761     -48.9646     55.3249     -92.1169     110.528     -290.514     324.557
17.4796     -28.5124     15.0934     37.046     -131.395     3.09244     119.869     177.99
9.86498     -26.8882     -91.9195     96.3686     -122.248     30.2037     -530.996     545.758
39.9337     -0.678409     98.9823     106.904     -52.2934     -101.695     156.409     193.881
4.27449     26.6995     -17.4705     32.4436     92.9658     -75.282     40.4001     126.534
-37.5107     34.3089     75.1641     90.9086     95.826     54.1686     188.936     219.046
41.7237     -12.4392     4.43135     44.1341     71.1238     10.4155     -204.71     217.103
2.28717     63.4554     53.9848     83.519     -78.18     17.2348     229.193     242.981
29.9081     -38.7749     -60.4373     77.968     -100.886     -45.0509     -56.3641     124.379
12.0014     20.9878     60.8705     65.5728     38.4796     -15.7996     -0.759905     41.7149
-1.79432     -46.745     16.1201     49.7092     -75.5446     -34.6658     -109.124     137.4
-46.3771     -13.6537     -11.5447     50.0094     49.8801     -96.8361     -21.8654     111.284
19.3373     -13.5764     27.4674     36.5966     -33.611     121.104     24.6697     128.327
32.244     40.2968     -180.015     187.354     -68.1543     47.9579     -110.58     138.582
59.5699     -25.7988     -211.003     220.862     35.5668     67.2293     -81.0433     111.265
2.10188     -29.9873     212.137     214.327     92.6535     5.45931     131.103     160.825
-42.2948     0.635021     -16.05     45.579     33.575     -70.8142     -37.3604     87.0458
6.90746     18.9368     -91.3466     93.6033     96.121     -30.1833     -44.09     110.243
31.2995     8.34749     215.458     218.03     -9.6089     -117.613     761.846     770.962
34.7956     -9.98534     74.71     83.1092     -93.8868     -60.4025     183.479     214.855
41.5942     3.96358     -18.8726     45.9666     49.0518     20.2281     128.531     139.163
17.3866     34.7732     -324.636     326.989     -82.8686     51.0851     -205.73     227.687
-30.8752     -7.7004     -9.71232     33.6219     39.5782     -105.464     -240.257     265.483
-34.922     -25.9767     16.4091     46.6417     57.192     -84.4656     -66.4356     121.905
-1.1002     -28.5565     30.2958     41.7891     70.7087     -25.7176     -49.347     90.0463
39.1131     -20.4032     -33.8225     55.7742     -52.6818     -77.9764     -237.108     255.154
-24.1625     17.5452     -149.76     152.757     -13.3579     -111.593     -311.174     330.977
67.5729     -1.24604     -44.1851     81.0927     -3.85369     -93.6988     -7.6947     94.3633
-19.1716     -10.9558     -29.3634     36.8499     6.48989     117.62     -23.8355     120.586
-8.15432     -27.7725     17.4743     34.0641     125.015     21.676     261.326     290.688
-71.7708     14.0759     117.136     138.236     -5.9961     -82.9585     106.27     135.055
8.88153     -33.024     -3.80325     34.535     -0.323643     -64.6253     -286.257     293.532
13.675     42.6271     691.248     692.719     86.9376     -33.5138     547.938     555.826
25.7245     16.0687     -230.842     232.873     75.9175     22.9292     -77.1256     110.829
-30.6384     60.6445     68.6412     97.0379     66.638     52.2457     -5.46493     85.1594
-44.6784     0.428004     -342.527     345.492     -10.7769     91.2873     -192.226     213.158
21.1186     -54.1601     564.794     567.802     -85.4212     -28.2966     397.66     407.766
38.6849     5.24401     -42.4048     57.7246     46.5769     -43.4943     -370.774     376.254
50.0657     14.9741     64.9894     83.5214     10.9529     -83.3015     208.358     224.845
-39.132     -47.4979     -21.9843     65.5511     79.8175     -43.0236     -85.7249     125.392
-33.4644     41.2938     -952.988     954.488     40.9821     61.3229     -319.422     327.885
27.5272     15.8693     13.6812     34.8611     -29.3904     97.2679     313.468     329.606
-58.1346     33.7104     -196.128     207.5     -44.386     -64.4057     -96.7015     124.501
14.0657     -48.9198     -103.018     115.468     60.4701     -24.2528     16.4458     67.6007
74.6534     -22.5071     96.9811     124.661     17.0359     85.2167     103.027     134.942
30.6471     17.2578     161.903     165.769     65.3532     -11.0325     22.5896     70.2541
17.6807     33.1336     -50.6846     63.4107     -42.6834     65.3798     -649.563     654.281
51.9163     27.5259     -32.3176     67.2361     50.7436     -48.1714     65.935     96.388
27.6672     -13.1462     -260.803     262.629     -63.9547     111.044     -1069.66     1077.33
18.0081     21.9807     -297.474     298.854     9.84532     -126.636     -972.611     980.897
-13.7843     -35.559     -287.449     290.026     -76.1038     -19.5919     -93.0267     121.974
