px(Higgs)  py(Higgs)  pz(Higgs)  energ(Higgs)  masa(Higgs)  px(cest_1)  py(cest_1)  pz(cest_1)  energ(cest_1)  masa(cest_1)  px(cest_2)  py(cest_2)  pz(cest_2)  energ(cest_2)  masa(cest_2)
-62.3694     -100.339     123.287     211.618     124.999     0.529988     -11.0246     98.8436     99.5737     4.8     -62.8994     -89.3147     24.4429     112.044     4.8
-42.386     109.127     -64.9959     183.175     124.993     -63.9569     14.4568     0.863028     65.7516     4.8     21.5709     94.67     -65.8589     117.423     4.8
-31.1903     114.137     562.803     588.535     125.004     -42.683     97.9447     557.173     567.345     4.8     11.4927     16.1927     5.62965     21.1901     4.8
-68.9588     83.85     -333.705     372.521     125.005     -25.0109     95.9025     -299.011     315.045     4.8     -43.9479     -12.0525     -34.6938     57.4751     4.8
44.0432     -100.25     112.422     200.631     124.997     74.3645     -110.324     82.6928     156.725     4.8     -30.3213     10.0745     29.7296     43.9063     4.8
-86.2303     54.3092     1256.87     1267.18     125.002     -56.5583     -31.6101     688.963     692.019     4.8     -29.672     85.9193     567.909     575.158     4.8
81.1668     61.1033     -131.116     207.697     124.999     -32.5192     9.77651     -15.8114     37.764     4.8     113.686     51.3268     -115.305     169.933     4.8
-67.1853     86.0596     524.601     550.229     125.001     -96.6062     51.1836     445.888     459.12     4.8     29.4208     34.876     78.7136     91.1087     4.8
9.04615     103.065     -136.72     212.184     125.003     2.48418     127.951     -134.797     185.933     4.8     6.56197     -24.8866     -1.92288     26.2515     4.8
-101.408     63.5919     183.772     252.44     125.005     -96.2585     9.09879     52.4858     110.119     4.8     -5.14904     54.4931     131.286     142.321     4.8
-72.2511     -76.556     702.368     721.128     124.992     33.8149     -20.5839     247.441     250.634     4.8     -106.066     -55.9721     454.927     470.494     4.8
